업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명
A,유통업,A01,종합유통,A01A01,백화점
A,유통업,A01,종합유통,A01A02,대형마트
A,유통업,A01,종합유통,A01A03,기업형 슈퍼마켓 (SSM)
A,유통업,A01,종합유통,A01A04,동네슈퍼마켓
A,유통업,A01,종합유통,A01A05,아울렛
A,유통업,A01,종합유통,A01A06,편의점
A,유통업,A01,종합유통,A01A07,면세점
A,유통업,A01,종합유통,A01A08,창고형 할인매장
A,유통업,A01,종합유통,A01A09,생활용품점
A,유통업,A01,종합유통,A01A10,H&B 스토어
A,유통업,A01,종합유통,A01A11,홈쇼핑
A,유통업,A01,종합유통,A01A12,로드샵
A,유통업,A01,종합유통,A01A13,이커머스
A,유통업,A01,종합유통,A01A14,기타 종합유통
A,유통업,A01,종합유통,A01A15,상품권/기프티쇼 등
A,유통업,A01,종합유통,A01A16,방문판매
A,유통업,A02,일반유통,A02A01,음식료품 유통
A,유통업,A02,일반유통,A02A02,생활용품 유통
A,유통업,A02,일반유통,A02A03,기타 일반유통
B,서비스업,B01,교육서비스업,B01A01,외국어학원
B,서비스업,B01,교육서비스업,B01A02,컴퓨터학원
B,서비스업,B01,교육서비스업,B01A03,예체능학원
B,서비스업,B01,교육서비스업,B01A04,보습학원
B,서비스업,B01,교육서비스업,B01A05,학습지교육
B,서비스업,B01,교육서비스업,B01A06,초중고교육기관
B,서비스업,B01,교육서비스업,B01A07,유치원
B,서비스업,B01,교육서비스업,B01A08,유아원
B,서비스업,B01,교육서비스업,B01A09,독서실
B,서비스업,B01,교육서비스업,B01A10,유학원
B,서비스업,B01,교육서비스업,B01A11,기타 교육
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A01,연구개발업
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A02,법무관련 서비스업
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A03,회계 및 세무 관련 서비스업
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A04,광고업
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A05,시장조사 및 여론조사업
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A06,경영 컨설팅 서비스
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A07,전문 디자인업
B,서비스업,B02,전문/과학 및 기술 서비스업,B02A08,기타 전문 서비스업
B,서비스업,B03,사회/공공서비스업,B03A01,사회/정치단체 및 지방자치단체
B,서비스업,B03,사회/공공서비스업,B03A02,종교단체
B,서비스업,B03,사회/공공서비스업,B03A03,주민자치센터 및 복지시설
B,서비스업,B03,사회/공공서비스업,B03A04,기타 조합/협회
