분석인덱스,시도명,시군구명,행정동명,일반결제년월,결제금액,전월결제금액,결제변화비율
0,경기도,가평군,가평읍,2019-09,19073066,19073066,0.00
1,경기도,가평군,가평읍,2019-10,68118300,19073066,257.14
2,경기도,가평군,가평읍,2019-11,54758044,68118300,-19.61
3,경기도,가평군,가평읍,2019-12,77461979,54758044,41.46
4,경기도,가평군,가평읍,2020-01,88133670,77461979,13.78
5,경기도,가평군,가평읍,2020-02,85119706,88133670,-3.42
6,경기도,가평군,가평읍,2020-03,118033641,85119706,38.67
7,경기도,가평군,가평읍,2020-05,186650,118033641,-99.84
8,경기도,가평군,가평읍,2020-06,96900,186650,-48.08
9,경기도,가평군,북면,2019-09,536860,536860,0.00
10,경기도,가평군,북면,2019-10,1940940,536860,261.54
11,경기도,가평군,북면,2019-11,1765250,1940940,-9.05
12,경기도,가평군,북면,2019-12,2191140,1765250,24.13
13,경기도,가평군,북면,2020-01,3756196,2191140,71.43
14,경기도,가평군,북면,2020-02,2962640,3756196,-21.13
15,경기도,가평군,북면,2020-03,3489751,2962640,17.79
16,경기도,가평군,북면,2020-06,1850,3489751,-99.95
17,경기도,가평군,상면,2019-09,423100,423100,0.00
18,경기도,가평군,상면,2019-10,1057920,423100,150.04
19,경기도,가평군,상면,2019-11,619400,1057920,-41.45
20,경기도,가평군,상면,2019-12,1423400,619400,129.80
21,경기도,가평군,상면,2020-01,2372110,1423400,66.65
22,경기도,가평군,상면,2020-02,2282720,2372110,-3.77
23,경기도,가평군,상면,2020-03,2937460,2282720,28.68
24,경기도,가평군,상면,2020-06,180820,2937460,-93.84
25,경기도,가평군,설악면,2019-09,1054320,1054320,0.00
26,경기도,가평군,설악면,2019-10,4033890,1054320,282.61
27,경기도,가평군,설악면,2019-11,3627936,4033890,-10.06
28,경기도,가평군,설악면,2019-12,4355228,3627936,20.05
29,경기도,가평군,설악면,2020-01,4451246,4355228,2.20
30,경기도,가평군,설악면,2020-02,5281550,4451246,18.65
31,경기도,가평군,설악면,2020-03,8284480,5281550,56.86
32,경기도,가평군,설악면,2020-05,59700,8284480,-99.28
33,경기도,가평군,설악면,2020-06,130800,59700,119.10
34,경기도,가평군,조종면,2019-09,2056521,2056521,0.00
35,경기도,가평군,조종면,2019-10,7966226,2056521,287.36
36,경기도,가평군,조종면,2019-11,7068412,7966226,-11.27
37,경기도,가평군,조종면,2019-12,9565137,7068412,35.32
38,경기도,가평군,조종면,2020-01,14901950,9565137,55.79
39,경기도,가평군,조종면,2020-02,18864579,14901950,26.59
40,경기도,가평군,조종면,2020-03,26728280,18864579,41.69
41,경기도,가평군,조종면,2020-05,1153460,26728280,-95.68
42,경기도,가평군,조종면,2020-06,1250630,1153460,8.42
43,경기도,가평군,청평면,2019-09,4469480,4469480,0.00
